subid,Condition,Item_ID,Response 
S01,Standard,Target_1,3
S01,Standard,Target_2,1
S01,Standard,Target_3,3
S01,Standard,Target_4,1
S01,Standard,Target_5,1
S01,Standard,Target_6,3
S02,Standard,Target_1,1
S02,Standard,Target_2,2
S02,Standard,Target_3,1
S02,Standard,Target_4,1
S02,Standard,Target_5,3
S02,Standard,Target_6,1
S03,Standard,Target_1,3
S03,Standard,Target_2,3
S03,Standard,Target_3,1
S03,Standard,Target_4,1
S03,Standard,Target_5,1
S03,Standard,Target_6,1
S04,Standard,Target_1,1
S04,Standard,Target_2,2
S04,Standard,Target_3,1
S04,Standard,Target_4,1
S04,Standard,Target_5,2
S04,Standard,Target_6,3
S05,Standard,Target_1,3
S05,Standard,Target_2,1
S05,Standard,Target_3,1
S05,Standard,Target_4,3
S05,Standard,Target_5,1
S05,Standard,Target_6,1
S06,Standard,Target_1,1
S06,Standard,Target_2,3
S06,Standard,Target_3,1
S06,Standard,Target_4,1
S06,Standard,Target_5,3
S06,Standard,Target_6,1
S07,Standard,Target_1,1
S07,Standard,Target_2,2
S07,Standard,Target_3,1
S07,Standard,Target_4,1
S07,Standard,Target_5,1
S07,Standard,Target_6,1
S08,Standard,Target_1,1
S08,Standard,Target_2,3
S08,Standard,Target_3,3
S08,Standard,Target_4,1
S08,Standard,Target_5,1
S08,Standard,Target_6,1
S09,Standard,Target_1,1
S09,Standard,Target_2,2
S09,Standard,Target_3,1
S09,Standard,Target_4,3
S09,Standard,Target_5,1
S09,Standard,Target_6,1
S10,Standard,Target_1,3
S10,Standard,Target_2,2
S10,Standard,Target_3,1
S10,Standard,Target_4,1
S10,Standard,Target_5,3
S10,Standard,Target_6,1
S11,Standard,Target_1,3
S11,Standard,Target_2,1
S11,Standard,Target_3,2
S11,Standard,Target_4,3
S11,Standard,Target_5,1
S11,Standard,Target_6,1
S12,Standard,Target_1,1
S12,Standard,Target_2,2
S12,Standard,Target_3,1
S12,Standard,Target_4,1
S12,Standard,Target_5,3
S12,Standard,Target_6,1
S13,Standard,Target_1,3
S13,Standard,Target_2,3
S13,Standard,Target_3,2
S13,Standard,Target_4,2
S13,Standard,Target_5,1
S13,Standard,Target_6,1
S14,Standard,Target_1,3
S14,Standard,Target_2,1
S14,Standard,Target_3,1
S14,Standard,Target_4,3
S14,Standard,Target_5,1
S14,Standard,Target_6,1
S15,Standard,Target_1,1
S15,Standard,Target_2,3
S15,Standard,Target_3,2
S15,Standard,Target_4,2
S15,Standard,Target_5,2
S15,Standard,Target_6,2
S16,Relevance,Target_1,3
S16,Relevance,Target_2,2
S16,Relevance,Target_3,1
S16,Relevance,Target_4,3
S16,Relevance,Target_5,3
S16,Relevance,Target_6,3
S17,Relevance,Target_1,1
S17,Relevance,Target_2,3
S17,Relevance,Target_3,3
S17,Relevance,Target_4,3
S17,Relevance,Target_5,3
S17,Relevance,Target_6,3
S18,Relevance,Target_1,3
S18,Relevance,Target_2,3
S18,Relevance,Target_3,2
S18,Relevance,Target_4,1
S18,Relevance,Target_5,3
S18,Relevance,Target_6,3
S19,Relevance,Target_1,1
S19,Relevance,Target_2,3
S19,Relevance,Target_3,3
S19,Relevance,Target_4,3
S19,Relevance,Target_5,3
S19,Relevance,Target_6,3
S20,Relevance,Target_1,3
S20,Relevance,Target_2,3
S20,Relevance,Target_3,3
S20,Relevance,Target_4,3
S20,Relevance,Target_5,3
S20,Relevance,Target_6,3
S21,Relevance,Target_1,3
S21,Relevance,Target_2,3
S21,Relevance,Target_3,2
S21,Relevance,Target_4,3
S21,Relevance,Target_5,2
S21,Relevance,Target_6,3
S22,Relevance,Target_1,3
S22,Relevance,Target_2,2
S22,Relevance,Target_3,3
S22,Relevance,Target_4,3
S22,Relevance,Target_5,3
S22,Relevance,Target_6,3
S23,Relevance,Target_1,1
S23,Relevance,Target_2,1
S23,Relevance,Target_3,3
S23,Relevance,Target_4,2
S23,Relevance,Target_5,3
S23,Relevance,Target_6,2
S24,Relevance,Target_1,3
S24,Relevance,Target_2,2
S24,Relevance,Target_3,1
S24,Relevance,Target_4,1
S24,Relevance,Target_5,1
S24,Relevance,Target_6,3
S25,Relevance,Target_1,3
S25,Relevance,Target_2,1
S25,Relevance,Target_3,3
S25,Relevance,Target_4,1
S25,Relevance,Target_5,1
S25,Relevance,Target_6,3
S26,Relevance,Target_1,3
S26,Relevance,Target_2,2
S26,Relevance,Target_3,2
S26,Relevance,Target_4,3
S26,Relevance,Target_5,3
S26,Relevance,Target_6,3
S27,Relevance,Target_1,2
S27,Relevance,Target_2,2
S27,Relevance,Target_3,2
S27,Relevance,Target_4,3
S27,Relevance,Target_5,1
S27,Relevance,Target_6,3
S28,Relevance,Target_1,3
S28,Relevance,Target_2,3
S28,Relevance,Target_3,3
S28,Relevance,Target_4,3
S28,Relevance,Target_5,3
S28,Relevance,Target_6,3
